Algorithm,x,y,Fitness,Time (s)
GA,-8.872109941383855e-11,2.3223296532408777e-10,0.0,0.4866163730621338
DE,-7.666211244693954e-11,-1.4675553425951135e-09,0.0,0.6546711921691895
PSO,4.4529175356818126e-10,-7.653299306300048e-10,0.0,0.138909101486206
