Algorithm,Mutation Rate,Population Size,x,y,Fitness,Time (s)
GA,0.01,20,1.0176596061661183,-0.9889595606887223,2.099218715635356,0.05567049980163574
GA,0.05,20,-1.035952058163752,-0.9944964741862403,2.3222542262097363,0.058933258056640625
GA,0.1,20,-0.995445983799135,-0.9968477344018867,1.9906729373176368,0.058596134185791016
GA,0.2,20,-0.9946198365536854,0.9941240736484408,1.9900789775909153,0.08820509910583496
GA,0.3,20,-0.0017911180986414253,0.9908390300835415,0.9989596752516618,0.06790566444396973
GA,0.01,30,-0.9271192039642602,-0.9687893863832329,3.0200435701841464,0.10791230201721191
GA,0.05,30,-0.9952048462478585,-0.9958889272558085,1.9901017552024207,0.09555387496948242
GA,0.1,30,1.9865747582598405,0.9947761912285725,4.9770012174821865,0.1043550968170166
GA,0.2,30,-0.9923419831339756,-0.9997614193216633,1.9958506123786677,0.10323047637939453
GA,0.3,30,-1.9906443882361768,0.004155665998941899,3.9833632866755515,0.13146686553955078
GA,0.01,50,-0.016577523129855578,-0.005801656229408791,0.06114893734418203,0.1713848114013672
GA,0.05,50,-0.0003878535781733064,0.010950304359301586,0.023809538266831964,0.1486046314239502
GA,0.1,50,-0.9888685419403019,0.0017507816055026288,1.0029178638971281,0.14362692832946777
GA,0.2,50,0.002856476386126562,-0.0006079739850381544,0.001692060593892819,0.1453092098236084
GA,0.3,50,-0.00021539790770731446,0.0005327495384325753,6.551265015275476e-05,0.1582627296447754
GA,0.01,100,-0.0001270028850345569,-0.0004793205411002482,4.878019829490654e-05,0.33595991134643555
GA,0.05,100,-0.0007904432750787614,0.0006302914137740047,0.0002027698163686864,0.3301832675933838
GA,0.1,100,0.9950166899426367,-0.991411675134706,1.992412809279795,0.31456542015075684
GA,0.2,100,-0.9950508579716646,0.0001347672250968071,0.9949643467417744,0.3928956985473633
GA,0.3,100,0.9922177489671471,-0.0005501629918950965,0.9965084708767691,0.3154642581939697
GA,0.01,150,4.49270537159032e-05,-0.00010506314723607468,2.5903468952037656e-06,0.5209696292877197
GA,0.05,150,-8.872109941383856e-11,2.322329653240878e-10,0.0,0.4883570671081543
GA,0.1,150,-0.9949586376756365,1.0195195172366407e-10,0.9949590570932898,0.49103403091430664
GA,0.2,150,0.0002732540313445079,-1.8015347196446824e-05,1.4877879007002548e-05,0.5103156566619873
GA,0.3,150,7.1821076988815e-07,5.3102525364969555e-06,5.696747962247173e-09,0.4651336669921875
