GA_Best_Fitness
3.2091695766239745
2.749618784988005
2.497635527103501
3.025414362185611
1.7939926321208155
1.568849140106277
0.28676391266269974
0.28676391266269974
0.20818648975167875
0.15660611609910546
0.15660611609910546
0.01001941018700947
0.011623996484669163
0.00035024072655076566
0.00012365966489724656
0.0003234252305972518
6.162771425977098e-05
6.774795856401283e-05
7.906178807814968e-05
1.0770306033691668e-05
2.719508838566753e-06
2.3419519834533276e-07
2.0440616310679616e-08
7.771774335196824e-09
1.1560103985175374e-09
1.2287753037298899e-08
1.9608492607403605e-09
2.7420199444350146e-09
2.1717916354191402e-09
2.9122659839231346e-10
4.959588295605499e-12
2.504663143554353e-12
7.538858426414663e-12
2.8279600883251987e-12
1.907807245515869e-12
1.0658141036401503e-13
3.552713678800501e-14
2.842170943040401e-14
7.105427357601002e-15
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
